code,id,user_type_id/id,name,reconcile,chart_template_id/id,group_id/id
000000,gd_acc_000000,account.data_account_type_non_current_assets,Dobro ime,0,gd_chart,
001000,gd_acc_001000,account.data_account_type_non_current_assets,Usredstveni stroški naložb v tuja opredmetena osnovna sredstva ,0,gd_chart,
002000,gd_acc_002000,account.data_account_type_non_current_assets,Odloženi stroški razvijanja,0,gd_chart,
003000,gd_acc_003000,account.data_account_type_non_current_assets,Premoženjske in druge pravice ,0,gd_chart,
005000,gd_acc_005000,account.data_account_type_non_current_assets,Druga neopredmetena sredstva (tudi emisijski kuponi),0,gd_chart,
007000,gd_acc_007000,account.data_account_type_non_current_assets,Dolgoročne aktivne časovne razmejitve,0,gd_chart,
008000,gd_acc_008000,account.data_account_type_non_current_assets,Popravek vrednosti neopredmetenih sredstev zaradi amortiziranja,0,gd_chart,
009000,gd_acc_009000,account.data_account_type_non_current_assets,Oslabitev vrednosti neopredmetenih sredstev,0,gd_chart,
010000,gd_acc_010000,account.data_account_type_non_current_assets,"Naložbene nepremičnine, vrednotene po modelu nabavne vrednosti",0,gd_chart,
011000,gd_acc_011000,account.data_account_type_non_current_assets,"Naložbene nepremičnine, vrednotene po modelu poštene vrednosti",0,gd_chart,
015000,gd_acc_015000,account.data_account_type_non_current_assets,Popravek vrednosti naložbenih nepremičnin zaradi amortiziranja,0,gd_chart,
017000,gd_acc_017000,account.data_account_type_non_current_assets,Naložbene nepremičnine v gradnji oziroma izdelavi ,0,gd_chart,
019000,gd_acc_019000,account.data_account_type_non_current_assets,Oslabitev vrednosti naložbenih nepremičnin,0,gd_chart,
020000,gd_acc_020000,account.data_account_type_fixed_assets,"Zemljišča, vrednotena po modelu nabavne vrednosti",0,gd_chart,
020100,gd_acc_020100,account.data_account_type_fixed_assets,Prevrednotenje zemljišč zaradi okrepitve ,0,gd_chart,
020200,gd_acc_020200,account.data_account_type_fixed_assets,Prevrednotenje zemljišč zaradi oslabitve ,0,gd_chart,
021000,gd_acc_021000,account.data_account_type_fixed_assets,"Zgradbe, vrednotene po modelu nabavne vrednosti",0,gd_chart,
021100,gd_acc_021100,account.data_account_type_fixed_assets,Prevrednotenje zgradb zaradi okrepitve,0,gd_chart,
021200,gd_acc_021200,account.data_account_type_fixed_assets,Prevrednotenje zgradb zaradi oslabitve ,0,gd_chart,
022000,gd_acc_022000,account.data_account_type_fixed_assets,"Zemljišča, vrednotena po modelu prevrednotenja",0,gd_chart,
023000,gd_acc_023000,account.data_account_type_fixed_assets,"Zgradbe, vrednotene po modelu prevrednotenja",0,gd_chart,
026000,gd_acc_026000,account.data_account_type_fixed_assets,Vlaganje v nepremičnine v tuji lasti,0,gd_chart,
027000,gd_acc_027000,account.data_account_type_fixed_assets,Nepremičnine v gradnji oziroma izdelavi,0,gd_chart,
031000,gd_acc_031000,account.data_account_type_fixed_assets,Popravek vrednosti zgradb zaradi amortiziranja,0,gd_chart,
031100,gd_acc_031100,account.data_account_type_fixed_assets,Popravek vrednosti zgradb zaradi okrepitve,0,gd_chart,
031200,gd_acc_031200,account.data_account_type_fixed_assets,Popravek vrednosti zgradb zaradi oslabitve,0,gd_chart,
032000,gd_acc_032000,account.data_account_type_fixed_assets,"Popravek vrednosti zemljišč zaradi amortiziranja (kamnolomi, odlagališča odpadkov)",0,gd_chart,
035000,gd_acc_035000,account.data_account_type_fixed_assets,Popravek vrednosti zgradb,0,gd_chart,
035100,gd_acc_035100,account.data_account_type_fixed_assets,Popravek vrednosti zgradb-leasing,0,gd_chart,
036000,gd_acc_036000,account.data_account_type_fixed_assets,Popravek vrednosti vlaganj v nepremičnine v tuji lasti,0,gd_chart,
039000,gd_acc_039000,account.data_account_type_fixed_assets,Oslabitev vrednosti zgradb,0,gd_chart,
040000,gd_acc_040000,account.data_account_type_non_current_assets,Oprema in nadomestni deli,0,gd_chart,
040100,gd_acc_040100,account.data_account_type_non_current_assets,Oprema in nadomestni deli-leasing,0,gd_chart,
040200,gd_acc_040200,account.data_account_type_non_current_assets,Prevrednotenje opreme in nadomestnih delov zaradi oslabitve,0,gd_chart,
041000,gd_acc_041000,account.data_account_type_non_current_assets,Drobni inventar,0,gd_chart,
042000,gd_acc_042000,account.data_account_type_non_current_assets,"Oprema in nadomestni deli, vrednoteni po modelu prevrednotenja",0,gd_chart,
043000,gd_acc_043000,account.data_account_type_non_current_assets,Biološka sredstva – večletni nasadi,0,gd_chart,
044000,gd_acc_044000,account.data_account_type_non_current_assets,Biološka sredstva – osnovna čreda,0,gd_chart,
045000,gd_acc_045000,account.data_account_type_non_current_assets,Druga opredmetena osnovna sredstva,0,gd_chart,
045100,gd_acc_045100,account.data_account_type_non_current_assets,Druga opredmetena osnovna sredstva-leasing,0,gd_chart,
